verb,sentence,verb_idx,label,definition
danced,"'' This music is n't meant to be watched , it 's intended to be danced , '' Mr. Gutierrez pleads from the stage",15,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
miss,"The company has said a cash - flow shortage caused it to miss $ 3.3 million in interest payments on its 10 7 8 % senior debentures due Dec. 31 , 1995",12,0,to fail to obtain
danced,Upstairs over the bufyet is the ballroom where Natasha danced,9,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
pumped,Japanese investors pumped in $ 190 million in this year 's first half,2,1,"to pour forth, deliver, or draw with or as if with a pump"
riding,"With the stock now trading in the low 80s , he wonders whether investors might have benefited more using the money in another investment rather than riding the roller coaster",26,1,to travel on
poured,"Despite a drying up of domestic demand for equity - warrant paper , more than $ 1 billion of equity - warrant issues poured into the market last week , and further heavy issuance is scheduled for coming weeks",23,1,to supply or produce freely or copiously
planted,"One million of the acres were already in soil - saving grasses or trees when put into the reserve , and roughly a third of the cropland now idled was previously planted in crops that were not defined by the Agriculture Department as surplus -- meaning a dead loss for consumers and the U.S. economy",31,0,to put or set in the ground for growth
attacked,"U.S. conservatives attacked the accord , but it helps clear the way for an upbeat superpower summit in Moscow at the end of May",2,1,to assail with unfriendly or bitter words
struck,"The '' no '' vote plan struck pay dirt because it provided an opportunity for a massive , secret protest vote against Gen. Pinochet , especially from Chile 's sizable and disaffected middle class",6,1,to strike at : hit
missing,"Over the past year , two teams of researchers , one at Johns Hopkins University and the other in London , have found that cells taken from colon cancer tumors are missing tiny bits of DNA -- possibly even tiny bits of genes -- on two different chromosomes",31,0,"to fail to get, reach, or do something"
fix,"In a statement , Mr. Kennedy announced that the raise would '' fix '' the promise of a living wage made 50 years ago when the minimum wage was created -- a promise he says was broken by the Reagan administration",12,1,"restore , cure"
destroys,"Director John McTiernan -LRB- '' Predator '' -RRB- has efficiently slapped together the ingredients for a big , ear - shattering action film : slick , heavily armed villains ; a wife in peril ; stupid TV journalists who only make things worse ; a renegade cop who singlehandedly destroys the bad guys against impossible odds",49,0,to put out of existence : kill
fill,"A spokesman for the real estate investment trust , which was set up a year ago to lease properties to American Medical International Inc . , a health - care concern , said there is n't any immediate plan to fill the chief executive position",40,0,to place a person in
pour,"As a regional brand , however , Stokely already ca n't come close to matching the dollars that both the biggies pour into advertising and trade promotion",21,1,to supply or produce freely or copiously
riding,"'' Such a big piece of the total company is riding on that pony , '' he says",10,1,to be contingent : depend
grabbed,"Japanese , West German , Taiwanese and other foreign machine tool builders grabbed business away from U.S. machine builders , both in the U.S. and abroad",12,1,to obtain without consideration of what is right or wrong
miss,"Regular fans of this long - lived TV news magazine will not want to miss its 10th anniversary retrospective show , featuring excerpts from Barbara Walters 's interviews with Richard Nixon , Edwin Meese and James Brady ; reports on AIDS and Agent Orange ; and profiles of Barbra Streisand , Katharine Hepburn and Andrew Lloyd Webber",14,0,"to fail to hit, reach, or contact"
smooth,"International Business Machines Corp. will announce tomorrow a slew of telecommunications products that will smooth over some of the problems with large computer networks , industry sources said",14,1,to free from what is harsh or disagreeable : polish
grasping,"She was really grasping at everyone '' who could make her feel better about his safety , Ms. Crispen said",3,0,to take or seize eagerly
absorb,"GM ca n't continue to absorb indefinitely the large fixed costs represented by unused capacity , he says",5,1,"assume , bear"
step,Many are expected to step down to make way for a new generation of leaders more sensitive to public opinion in Taiwan,4,1,to be on one's way : leave
flooded,"The situation shows how the 1985 farm legislation , which flooded the farm economy with cash the past three years , also expanded the government 's exposure to losses",10,1,to fill abundantly or excessively
strike,"Even if Najibullah ca n't hang onto power , he may now be able to strike a better arrangement for a coalition government with a more compromising Pakistan",15,1,to shake (hands) in confirming an agreement
destroy,This was not the first occasion when Sandinistas have pursued Contras across an ill - defined frontier and sought to destroy the Contra bases,20,0,"annihilate , vanquish"
evaporates,'' The specialness evaporates when a hands - on operation becomes a finger on a monolithic hand . ',3,1,to pass off or away : disappear
strike,"And Michigan Gov. James Blanchard is appointing a commission to '' look at how you strike the balance '' between the warring factions , the governor 's spokesman says",15,1,to come to : attain
missing,"Smaller , more precise probes were developed that researchers hoped would home in on the missing DNA bit and , possibly , the DMD gene itself",15,0,"to fail to get, reach, or do something"
missing,"'' That does n't stop us from missing Brian , of course . '",7,0,to discover or feel the absence of
miss,"Coincidentally or not , this meant that Sen. Quayle also would miss a scheduled joint appearance with the vice president today in Chicago at the meeting of the Veterans of Foreign Wars",11,0,to fail to perform or attend
plows,"In retelling the story of Freud 's life and work , Peter Gay plows a furrow already dug deep by many previous Freud biographers and historians of psychoanalysis",13,1,"to make (something, such as a furrow) with a plow"
cool,"Britain , expected to be the European growth '' locomotive '' at more than 3.5 % , recently raised interest rates again to cool off its '' overheating '' economy",23,1,to slow or lessen the growth or activity of
sticking,"One of the company 's managing directors , Seymour M. Lotsoff , said he is sticking to short - maturity bonds because '' I ' m not optimistic about interest rates . '",15,1,to hold fast or adhere resolutely : cling
flourish,"The astronauts also grew samples of proteins used in AIDS and cancer research that are difficult to make on Earth , but which may flourish under near - weightless conditions",24,0,to grow luxuriantly : thrive
riding,"Thirty - eight summers ago at Tecumseh Lodge in Eagle River , Wis . , my riding instructor was '' Uncle '' Al Dorfman",16,0,to sit and travel on the back of an animal that one directs
drank,"As I drank water and ate for the first time in two days , my determination to continue the opposition crusade was strengthened",2,0,"swallow , imbibe"
fill,The '' catastrophic illness '' health - care bill approved by Congress yesterday will fill some major gaps in Medicare coverage for the elderly,14,1,"make out , complete"
stepped,"The Bundesbank stepped in when the dollar was trading around 1.8440 marks , which was up from its levels late Friday , and continued selling dollars throughout the morning , dealers said",2,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
melts,"The problem it would confront is those last decades -LRB- 2030 - 2050 -RRB- of the scenario , when the surplus melts away to zero",21,1,to cause to disappear or disperse
fills,He fills a vacancy created by the resignation of Henry W. Lorin,1,0,to place a person in
target,"I have authored a bill to implement community - based gang violence intervention programs that would target elementary and junior high schools most affected by gang violence , providing job training , family and individual counseling and other techniques to limit the appeal of gangs and to teach vulnerable youngsters not to need to depend on drugs or gangs",16,1,to direct or use toward a target
absorbing,"Meanwhile , Democratic nominee Michael Dukakis -- after a month of absorbing Republican blows on his patriotism and being portrayed as a big taxer -- tried to gain the offensive with an old Democratic chestnut : the Republicans are going to take away your Social Security",11,1,"endure , sustain"
drink,"The theory behind the strategy : If it 's there , people will drink it",13,0,"swallow , imbibe"
flying,"Unfortunately , '' Phantasm II '' also concerns a flying metal ball with speed - drill attachments , which affixes itself to one 's forehead and then drains the brain",9,0,to move through the air or before the wind or through outer space
dragging,"Oil shares , higher at the end of the morning session on a flurry of merger rumors , gave back most of their gains in the afternoon , while financials such as brokers fell , dragging down the Nikkei index",35,1,to draw or pull slowly or heavily : haul
cooled,Watson 's rhetoric is purged of offensive racial references and cooled to a sympathetic refrain about the misery of dispossessed country folk forced to sell their youngsters ' lifeblood to money - grubbing factory owners from the North,10,1,"to moderate the heat, excitement, or force of : calm"
filling,"Fred J. Kupel , chief financial officer and vice president , finance and administration , at this forest products concern , was named a director , filling a vacancy and returning board membership to 11",26,0,to place a person in
examining,"A spokesman for Burbank , Calif .- based Walt Disney Co. said the entertainment concern is examining the decision and would n't comment until after its review is complete",16,1,to inspect closely
riding,"And with the economy so far apparently riding out the crash , U.S. companies seem less worried about the threat of an imminent recession that might have kept them from gambling heavily on takeovers",7,1,"survive , outlast"
attacked,"In Idaho last week , the Indiana conservative attacked the Carter administration for having shown an '' insensitivity to Western needs '' and having tried to '' cancel vital water projects . '",8,1,to assail with unfriendly or bitter words
missing,Since then Mr. McCrea has bounced an all - state candidate off the team for a year for missing his summer basketball camp,18,0,to fail to perform or attend
flooded,"Mr. Takeda , for one , thinks the Thais turned away from communism after the Vietnamese invaded Cambodia in 1979 and Thailand was flooded with refugees from its communist neighbors",23,1,to fill abundantly or excessively
riding,"Frequently in bad contemporary movies , when men are n't undressing onscreen , they are riding around in cars with their buddies -- or avenging their deaths",15,0,to travel on
strike,"The study notes that some machines weigh half a ton when fully loaded and can strike the ground with a force of almost 1 , 000 pounds",15,0,to strike at : hit
rolling,"When the TV cameramen motion for him to run closer to the water , Sen. Gore readily complies , the waves rolling up to his feet",21,0,"to go forward in an easy, gentle, or undulating manner"
fixed,"Sir Nicholas , who presided over many changes at the exchange , helped lay the foundation for the '' Big Bang '' deregulation of Britain 's securities markets by agreeing to end fixed commissions and other rules",32,0,"to make firm, stable, or stationary"
destroying,"Horace Furumoto , chairman and chief executive officer , said the company recently has completed its first phase as a public company , which included the development of lasers for removing birthmarks and for destroying kidney stones without surgery",34,0,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
pump,"There has been a consequent letdown in political suspense ; and , since too many reporters these days cover politics as if it were a form of horse racing , the press is now doing its best to pump drama into the vice presidential nominations",38,1,"to pour forth, deliver, or draw with or as if with a pump"
pour,"Still , calls continue to pour in on Dr. Lapin 's 800-NO - BLOOD hotline",5,1,to move or come continuously : stream
escaped,"A fourth anti - apartheid activist escaped detention in South Africa and took refuge in the U.S. consulate in Johannesburg , where three others have been sheltered",6,0,to issue from confinement
cool,"Fed officials hope for signs soon that the economy is slowing , which would cool the need for further rate increases",14,1,to slow or lessen the growth or activity of
assaulted,Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife,13,0,to make an assault on : to attack violently
flows,"Between the two friends , money flows both ways",6,1,to move with a continual change of place among the constituent particles
missing,"But now he says he would rather risk missing the start of any bull market than being caught in another collapse , '' which would be unforgivable in the eyes of my clients . '",8,0,to fail to perform or attend
stepped,"Olivetti , the Italian electronics concern , stepped in and rescued the company by acquiring 79 % of the stock",7,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
flown,A revenue passenger mile is one paying passenger flown one mile,8,0,to operate or travel in an airplane or spacecraft
rolling,"Ms. Richards had them rolling in the aisles with her lacerating jibes at George Bush 's silver foot in the mouth , etc",4,1,to cause to revolve by turning over and over on or as if on an axis
grab,"Like soap operas , the spots try to grab the viewer with heavy doses of drama and emotion",8,1,to seize the attention of
struck,"A federal appeals court here struck down the law on Jan. 22 , saying the appointment of independent counsels by a special three - judge court violates the Constitution 's separation of powers",5,1,to attempt to undermine or harm something as if by a blow
pumped,Cargill pumped nearly $ 1 million into the weekly radio program from its inception in 1975 through Mr. Keillor 's departure in June of last year,1,1,"to pour forth, deliver, or draw with or as if with a pump"
rolling,'' This gets the ball rolling . ',5,1,to turn over and over
dance,"Indeed , the musical 's whole point is expressed through a single climactic , apocalyptic number called '' Rockland , '' in which the cast , suddenly dressed in hip , punky clothes , leather jackets and army fatigues , sings '' We dance together in a bar to the same creeping sense of ennui . '",43,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
kicked,"The News runs a gossip column called the Gang of Nine -- it 's written by nine unidentified students -- that recently has covered such topics as who 's dating whom , who got '' drunk enough to get kicked out of one of Boston 's most miserable bars '' and who did what in class -LRB- '' Jeff , always make sure your shirttails are tucked in when standing in front of class '' -RRB-",39,1,to remove from a position or status
pour,"Offers for more projects pour in every day , spurring Mr. Vinton to mull over the possibility of opening satellite offices in New York and Los Angeles to deal with all the people clamoring for Claymation",4,1,to move with a continuous flow
evaporating,That measure assumed surpluses were the problem ; now the surpluses are evaporating,12,1,to diminish quickly
pumping,"In doing so , the state is trying to use retirees as a vehicle to achieve a public - policy aim : pumping more jobs and money into its poorest region",22,1,"to pour forth, deliver, or draw with or as if with a pump"
kick,"The more today 's candidates compare themselves to the little gamecock who scattered S.O.B.s like shrapnel and threatened to kick a journalist in his most tender parts , the more controlled most of them have become",19,0,to strike suddenly and forcefully as if with the foot
filled,"But to take this often - repeated mistake as a basis for the misleading conclusion that our streets will be forever filled with happy motorists , secure in their bliss because of endless oil supplies , is so naive as to border on irresponsibility",21,0,to occupy the whole of
examining,"Similarly , Stephen Lister , a senior vice president of the American Stock Exchange , said that in examining the activities of brokers , the exchange 's investigators sometimes encounter brokers who ca n't explain an investment strategy they ' ve recommended to customers",18,0,to inquire into carefully : investigate
destroy,"Claiborne had said in its complaint last month that Avon 's failure to meet its obligation for the Fall and Christmas seasons , which together account for more than 70 % of annual sales for the venture , would '' irreparably harm and likely destroy the business . '",44,1,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
lent,"One branch of Superior Training Services , an Indianapolis - based career - school chain , showed $ 24 million in defaults , or 44 % of the money lent to its students , in a state governments ' study",29,0,to let out (money) for temporary use on condition of repayment with interest
plowing,"Texas is indeed the most dramatic and scandalous example of S & L managers plowing money into dubious projects , often with less than an arms - length relationship with developers and totally unrealistic estimates of the potential income streams of the commercial and residential buildings they were financing",14,1,to spend or invest (money) in substantial amounts
evaporated,"The euphoria of hiring four agents the first month evaporated when the local franchise owners , who earlier sung VR 's praises , revealed their discontent now that he was one of them",9,1,to pass off or away : disappear
flying,Sunworld had recently been operating as a charter airline flying 120 flights a month,9,0,to operate or travel in an airplane or spacecraft
examine,During that period I had made a number of wilderness trips into war zones in an effort to examine the reliability of the many conflicting human - rights reports and present an overall picture of the Contra war 's human toll,18,1,to inquire into carefully : investigate
miss,I 'd miss it if I did n't play,2,0,to discover or feel the absence of
stick,"If the charges stick , it could suggest that some concepts of freedom are a bit too broad",3,1,to remain effective
melting,"One is in Lebanon 's Bekaa Valley , that melting pot of radical Palestinians , Iranians , Libyan and Syrian intelligence officers and Shiite terrorists",9,1,to lose outline or distinctness : blend
strike,"It cuts the workweek to 44 hours from 48 , guarantees a 50 % bonus for all overtime , grants unlimited right to strike , introduces maternity leave of 120 days , suggests paternity leave of five days , and provides new legal protection against arbitrary dismissal",23,0,to stop work in order to force an employer to comply with demands
flourished,"For that , Dillard needs to study hard , retailing analysts and consultants say , because the small cities where Dillard has flourished are n't much of a training ground for the markets it wants to enter",22,1,to reach a height of development or influence
miss,But Western and Soviet officials indicated that Moscow is unlikely to miss the Feb. 15 deadline for withdrawing its soldiers from the country,11,1,"to fail to hit, reach, or contact"
roll,"In fact , though PAN embraces international investment , it is n't inclined to roll over for it",14,1,to luxuriate in an abundant supply : wallow
eat,"For those who eat only at four - star French restaurants , fajitas are a Tex - Mex specialty -- strips of grilled beef rolled up in flour tortillas with onions , peppers and guacamole",3,0,to take food or a meal
examines,"A recent study by HHS for the first time examines how many Americans use such treatments , as well as the kinds of '' cures '' they try",9,1,to inquire into carefully : investigate
absorbed,"Equally important , his Socialist government absorbed and then , in effect , destroyed the French Communist Party",6,1,to take in and make part of an existent whole
planting,"Many farmers reduced wheat planting under a government program that requires them to idle 27.5 % of their acreage to qualify for price - support subsidies , said Ewen Wilson , assistant agriculture secretary for economics",4,0,an act of planting
flourish,"Despite these problems , Western officials are optimistic that the superpower relationship has a unique opportunity to flourish because of both nations ' economic problems , need for defense cuts and desire to concentrate on domestic affairs",17,1,to reach a height of development or influence
lends,"Third , the finding of the same basic pattern again and again , by a variety of researchers controlling for a host of other variables , lends credence to the view that the disparities reflect a real and robust phenomenon",26,1,"to give the assistance or support of : afford , furnish"
misses,"The point of view of the economist here misses the essential by being too technical , namely that the values associated with a free - market economy can be destroyed by the tax system",8,1,"to fail to comprehend, sense, or experience"
plowing,"The downtown shop alone is grossing more than $ 1 million a year now , but the Shihs take salaries of only about $ 2 , 000 a month each from their business , plowing profits back into their drive to become the McDonald 's of the flower game",34,1,to spend or invest (money) in substantial amounts
rain,"'' No , it does n't rain every day , '' protests a vendor at Cherrapunji 's waterlogged market , his face wreathed in swirling , midmorning mist",6,0,to send down rain
drink,And it did n't help that law - enforcement officials have reported problems with 19- and 20-year - olds coming to Wyoming from neighboring states to drink,26,0,to partake of alcoholic beverages
grab,"'' Ten years ago , it was enough to latch onto something 100 % proven , '' says Shoji Kumagai , general manager of technical development at giant Sumitomo Corp . '' Today we have to grab it at the idea stage . '",36,1,to take hastily
knocking,I confess I fear word will get out that '' the man in the green house is a soft touch '' -- and that I will soon have several '' Clints '' knocking on my door,32,0,to make a pounding noise
drink,My impression is that he does n't drink . ',7,0,to partake of alcoholic beverages
grasp,"He fails to properly grasp the nature of the frontier culture , and only superficially understands the dilemma of the native people",4,1,to lay hold of with the mind : comprehend
targeting,"Yet under a Start regime , the committee report said , '' The Soviet incentive to cheat could increase because of a greater difficulty in meeting targeting requirements '' in Europe and the U.S. Mr. Boren urged a big new investment to improve U.S. intelligence collection",26,1,to make a target of ; especially : to set as a goal
attacked,"Iranian gunboats attacked an Indian tanker in the Persian Gulf , setting the vessel ablaze and wounding at least one crew member , gulf - based shipping executives reported",2,0,to set upon or work against forcefully
flowed,"The well flowed at a rate of 153 barrels of oil per day with no water , at depths of between 7 , 618 feet and 7 , 638 feet",2,0,to discharge in a flow
absorbed,"If his style after the strikes of last May indicates anything , Gen. Jaruzelski has n't absorbed that",16,1,"to take in (knowledge, attitudes, etc.) : acquire , learn"
eating,"And when various award - winning fruits and animals were assembled for a local TV shot , Chief tried to eliminate the 59-pound watermelon by eating it",25,0,"to take in through the mouth as food : ingest, chew, and swallow in turn"
plowing,"Despite the potential drawbacks , the networks are plowing ahead",8,1,to proceed steadily and laboriously
roll,The suit also charges that Suzuki fraudulently withheld information about alleged design defects that give the Samurai a propensity to roll over in certain abrupt maneuvers,20,0,to turn over and over
besieged,"NTN Toyo Bearing Co . , a Japanese firm with plants in the U.S . , is being besieged by potential buyers and has lead times of seven to 13 months",18,1,to press with requests : importune
dragging,'' That would cause Boeing to finally move on the 7J7 and stop dragging its feet . ',13,1,to cause to move with slowness or difficulty
drinking,"The repeal of Prohibition has n't stopped drinking either , and today , as always , there are people who get '' hooked '' on alcohol",7,0,to partake of alcoholic beverages
miss,"If crazed publications are up your alley , you wo n't want to miss Confused Pet Monthly , Australasian Survivor , or Rotten Island -- '' a children 's book about a land where everything is as bad as it possibly could be . '",13,0,"to fail to hit, reach, or contact"
destroying,"Companies still spend billions of dollars printing and storing forms -- - and destroying them when , say , an address changes",13,0,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
pump,Each will pump almost $ 25 million into media and polling,2,1,"to pour forth, deliver, or draw with or as if with a pump"
rode,"And he scored the highest - charting guitar instrumental album in a dozen years when his '' Surfing With the Alien , '' released on the independent Relativity label , rode into Billboard 's Top Thirty",30,1,to travel as if on a conveyance : be borne
knocking,"Soon she is not only bringing her wheelchair - bound master snacks , she 's knocking off people he dislikes -- and only too slowly",15,1,"to drive, force, or make by or as if by so striking"
examined,"Mr. Martinelli 's lawyer , Joseph Sharlitt , said he sees '' dangerous '' implications in requiring publishers to disclose quid - pro - quo arrangements : '' It means all business practices of the press can be examined for any tie - in for ads and reprints about companies . '",38,1,to inspect closely
stepped,"As previously reported , First RepublicBank Dallas had an unusually steep $ 600 million drop in average deposits one week last month after a rating service downgraded its deposit quality and reports that federal regulators stepped up scrutiny of the ailing banking concern",35,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
grabbed,"As Elle grabbed market share , other fashion magazines quickly revamped , redesigned and repositioned themselves",2,1,to seize the attention of
lending,It was financed in part by lending from foreign banks flush with petrodollars,6,0,to make a loan
attacking,"These Protestants retaliate by physically attacking Catholics , Mr. Donnelly says",5,0,to set upon or work against forcefully
fly,"Airlines say they have lessened the risk by focusing increases on business fliers , who often must fly at any price",17,0,to operate or travel in an airplane or spacecraft
flourished,"For starters , factoring has flourished because many merchants are so willing to do it for a share of the telemarketer 's proceeds",5,1,to reach a height of development or influence
strike,It took a year and two trips to the Soviet Union to strike a deal with a literary house,12,1,to shake (hands) in confirming an agreement
flows,"When the warm vapor flows through the narrowed midpoint , it speeds up and its pressure drops",4,0,to move with a continual change of place among the constituent particles
examined,"'' We ca n't go any further until the commission has in fact examined the application , '' she said",13,0,to inspect closely
rests,"But the real decision rests with Mr. Kerkorian , the publicity - shy financier who pieced together the new MGM UA from assets retained when the venerable studio was sold to Turner Broadcasting System Inc. in 1986",4,1,to be based or founded
planted,"The winter wheat crop , planted last fall , '' is deteriorating as it matures because of moisture deficiencies , '' said Mr. Schwensen",5,0,to put or set in the ground for growth
dragged,But the bigger companies ' stocks have dragged down the group 's performance,7,1,to draw or pull slowly or heavily : haul
eat,"But for small companies , the costs eat up a much larger percentage of revenue",7,1,"to destroy, consume, or waste by or as if by eating"
sleeping,"'' Every day I come into Manhattan , I see people sleeping in boxes , '' he says",11,0,to rest in a state of sleep
cooled,Takeover speculative ardor cooled in Information Resources,3,1,to lose ardor or passion
attacked,"Secretary of State George Shultz last week attacked as '' shocking '' Mr. Dukakis 's willingness to recognize Jerusalem rather than Tel Aviv as Israel 's capital -- a move that has been long sought by the Israelis and would be popular with Jewish voters in the U.S . , but that Mr. Shultz asserts would complicate efforts to find a Mideast peace",7,1,to assail with unfriendly or bitter words
besieged,"Public judges could appear , in the public imagination , as nothing more than besieged bureaucrats",14,1,to press with requests : importune
withered,"Describing the hospital - room scene on the day of the assassination attempt , where doctors and technicians were racing to save the life of the stricken leader of the free world , Mr. Speakes volunteers that though President Reagan was a robust 70-year - old , '' he had the body of an older man , with a bit of flab and withered muscles that are dead giveaways that the body is not quite what it used to be . '",63,1,"to lose vitality, force, or freshness"
absorb,"The House - passed version also includes the 4 % raise , but would require agencies to absorb only half of the cost",17,1,"assume , bear"
absorb,"Under the proposed merger , Wheelabrator Technologies will absorb Waste Management 's Tampa , Fla . , incinerator and three other waste - to - energy projects the company has under development in Broward County , Fla . ; Dakota County , Minn . ; and Falls Township , Pa",8,1,to take in and make part of an existent whole
cool,Mr. Feldt insisted that the need to cool the high - flying capital markets -- and placate his party 's union supporters at a sensitive juncture in the election campaign -- outweighed the Riksbank 's arguments,7,1,to slow or lessen the growth or activity of
planted,"Mr. Hane , the Fort Motte farmer , planted only 250 acres in soybeans this spring , just one - third as much as six years ago",8,0,to put or set in the ground for growth
pouring,'' She 's only had the chance to practice her conviction politics because the other side has been pouring paraffin over themselves and putting matches to it in front of the television cameras at routine intervals . ',18,0,to cause to flow in a stream
destroy,"The chief substitutes will likely be variations on this chemical structure but with less chlorine , the element thought to destroy atmospheric ozone",20,0,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
filled,"About 80 separate documents had to be filled out , many of them in an effort to reassure institutional money managers about the company 's credit - worthiness and prospects , Mr. Koch says , adding , '' There were times I wanted to kill . '",7,1,"make out , complete"
escaped,"The study of 250 of the nation 's largest profit - making corporations found that only 16 escaped taxation last year , compared with 40 in 1986 and 39 in 1985",17,1,to get or stay out of the way of : avoid
roll,Maybe he 'd roll over in his grave . ',3,1,to lie extended : stretch
grabs,"Airborne , he grabs a roll of money from his back pocket and punches it toward the camera",3,0,to take or seize by or as if by a sudden motion or grasp
examined,"But that has n't occurred ; meanwhile , it may be a healthy thing that politicians are on notice that character issues may be more deeply examined",26,1,to inquire into carefully : investigate
step,Traders said only in the final hour did a few noticeable buyers step into the market,12,1,to move by raising the foot and bringing it down elsewhere or by moving each foot in succession
rolling,"'' It does n't look good , but nobody at First Boston seems to care as long as the fees keep rolling in . '",21,1,to luxuriate in an abundant supply : wallow
escaping,A new extermination technique calls for pumping air heated by propane burners into insect - infested houses that have been covered with tarps to keep the heat from escaping,28,0,to issue from confinement
cooling,"Tighter credit could help narrow the trade deficit by cooling consumer spending , but high interest rates have bleaker implications for other areas , such as housing",9,1,to slow or lessen the growth or activity of
missed,"Mr. Grauer added , '' The commission totally missed the point",8,1,"to fail to hit, reach, or contact"
killed,One person was killed -- an engineer on one of the trains,3,0,to deprive of life : cause the death of
melting,The impact of her crash coup is melting away as her fund has trailed the market consistently,7,1,to cause to disappear or disperse
pours,"As each diver plunges into a cage , Mr. Roessler pours a smelly dipper of chum on top of him : the initiation rite",10,0,to cause to flow in a stream
fix,A group of containerized - waste customers charged that Waste Management Inc. and Browning - Ferris Industries Inc. conspired on a nationwide basis to fix prices for container - refuse service,24,0,"to influence the actions, outcome, or effect of by improper or illegal methods"
killed,"Two air crashes in India killed at least 164 people , authorities said",5,0,to deprive of life : cause the death of
targeted,"Philip Morris also has $ 1.5 billion in available cash and the ability to acquire more funding if necessary , although people close to the company said some of the funds available are targeted for other corporate purposes and for expenses related to the proposed acquisition",33,1,to direct or use toward a target
eat,Most seafood eaters never give a second thought to the safety of the delicacies they eat,15,0,to take food or a meal
wither,And Jackson adviser Roger Wilkins warned that '' trust and loyalty are bound to wither '' if the lines of communication between the two camps are not kept open,14,1,"to lose vitality, force, or freshness"
flow,"And , '' These characteristics of Soviet policy , like the postulate from which they flow , are basic to the internal nature of Soviet power , and will be with us , whether in the foreground or the background , until the internal nature of Soviet power is changed . '",15,1,to proceed smoothly and readily
pumping,"To make up for some of that loss , Western Pennsylvania Water has brought another of its pumping stations to full capacity",17,0,to work a pump : raise or move a fluid with a pump
played,Publisher Thomas Valentino complains BMI paid him just $ 12 when a piece he handled was played on the nationally syndicated program '' Lifestyles of the Rich and Famous . ',16,0,"to cause the recorded sound or image of (something, such as a record, optical disk, or a digital file) to be reproduced"
pump,Texas Air said the sale of the hourly New York - Boston - Washington shuttle is intended to pump cash into long - ailing Eastern,18,1,"to pour forth, deliver, or draw with or as if with a pump"
filled,"Christman Air System , with just 30 % of its seats filled on a typical flight , is losing money",11,0,to occupy the whole of
flooded,"In the following decade , the Federal Reserve flooded the banks with reserves , providing the raw material for BankAmerica 's profligate lending policies while also creating a spiraling inflation",8,1,to fill abundantly or excessively
dancing,And a family in adjacent Hamilton County turned to him after it got little response from local authorities to its complaints about people dancing and praying in a nearby graveyard,23,0,to move one's body rhythmically usually to music : to engage in or perform a dance (see dance entry 2 sense 2 )
rolling,The monitor on Megaquest 's bisexual line recently got the conversation rolling by discussing the relative merits of different gender combinations,11,1,to cause to begin operating or moving
step,"Francis Bouygues plans to step down tomorrow as chairman of the television station TF1 but will remain at the helm of Bouygues S.A . , the construction company he founded that controls the station , sources said",4,1,to be on one's way : leave
evaporated,"'' As the amount of copper available for delivery rose above the number of contracts that had to be satisfied , the threat of a squeeze ' in the March contract evaporated , '' said William O'Neill , research director for Elders Futures Inc . , New York",31,1,to pass off or away : disappear
stuck,"'' Not having him -- or her -- that 's where we 're stuck , '' he said",13,1,"to become blocked, wedged, or jammed"
flowing,But Mead kept the information flowing to all bona fide customers of its service,5,1,to proceed smoothly and readily
pump,"Besides if Mikhail Gorbachev wants to spend all those resources so the East bloc 's skaters and lugers can pump revenue into ABC , it 's fine with us",19,1,"to pour forth, deliver, or draw with or as if with a pump"
dissolve,But Mr. Mitterrand has said he would n't dissolve parliament and call new elections unless it voted down his government,8,1,to bring to an end : terminate
evaporate,"The new jobs may pay less , but they will also be less likely to evaporate all at once",15,1,to pass off or away : disappear
knocks,"Any bad news knocks stocks down , '' he said",3,1,"to drive, force, or make by or as if by so striking"
pour,Why do companies pour money into the wrong places,3,1,to supply or produce freely or copiously
destroyed,Old clothes are often destroyed and new ones donned ; indoctrination is given in social mores and religious beliefs,4,0,"to ruin the structure, organic existence, or condition of ; also : to ruin as if by tearing to shreds"
kicked,"The opening salvo came on Memorial Day , when the Guard kicked off a celebration of its 75th year at Camp Grayling",11,1,to remove from a position or status
stumble,"It is a world in which everyone plagiarizes , but some prosper while others stumble",14,1,to walk unsteadily or clumsily
drag,"That 's pretty much it , plotwise , except for coming up with the various modes of transportation the bounty hunter cop has to use to drag the con man accountant across country",26,0,to bring by or as if by force or compulsion
rests,"However , the final outcome of negotiations on these joint ventures rests largely on whether Texaco can fight off Mr. Icahn at the annual meeting",11,1,to be based or founded
lend,"The agreement also helps avoid bickering between Texaco and its independent - minded unit , which pledged to lend its vital aid in the sale",18,1,"to give the assistance or support of : afford , furnish"
